"My Coupons","My Coupons"
"My Coupon List","My Coupon List"
"(Guest User)","(Guest User)"
N/A,N/A
No,No
"My Coupon List","My Coupon List"
"Print Coupon","Print Coupon"
"Coupon Details","Coupon Details"
"Marketplace Add Coupon","Marketplace Add Coupon"
"Coupon has been successfully deleted from your account.","Coupon has been successfully deleted from your account."
"You are not authorize to delete this product.","You are not authorize to delete this product."
"This product no longer exists.","This product no longer exists."
"Edit Coupon","Edit Coupon"
"MY Coupon LIST","MY Coupon LIST"
"You are not authorize to delete products with id(s) %1 .","You are not authorize to delete products with id(s) %1 ."
"Coupons are successfully deleted from your account.","Coupons are successfully deleted from your account."
"Coupon REMINDER","Coupon REMINDER"
"Your Coupon has been successfully saved","Your Coupon has been successfully saved"
"Name has to be completed","Name has to be completed"
"Description has to be completed","Description has to be completed"
"Price should contain only decimal numbers","Price should contain only decimal numbers"
"Weight should contain only decimal numbers","Weight should contain only decimal numbers"
"Product stock should contain only integers","Product stock should contain only integers"
"Sku Type has to be selected","Sku Type has to be selected"
"Price Type has to be selected","Price Type has to be selected"
"Weight Type has to be selected","Weight Type has to be selected"
"Default Title has to be completed","Default Title has to be completed"
"Unable to save Coupon","Unable to save Coupon"
"I would like to inform you that recently I have added a new Coupon in the store.","I would like to inform you that recently I have added a new Coupon in the store."
"I would like to inform you that recently I have updated a  Coupon in the store.","I would like to inform you that recently I have updated a  Coupon in the store."
message,message
"validate Coupon","validate Coupon"
"Coupon Dates must be valid.","Coupon Dates must be valid."
"Coupon Start Date must be less than Coupon End Date.","Coupon Start Date must be less than Coupon End Date."
"Upcoming Coupons","Upcoming Coupons"
"Requested quantity is not available for selected 
                                                Coupon type. Only %1 quantity is available for selected Coupon type.","Requested quantity is not available for selected 
                                                Coupon type. Only %1 quantity is available for selected Coupon type."
"Coupon Coupon %1 is out of stock","Coupon Coupon %1 is out of stock"
Coupon_message,Coupon_message
Coupon_subject,Coupon_subject
"Coupon has been expired.","Coupon has been expired."
"Requested quantity is not available for selected 
                                                        Coupon type. Only %1 quantity is available for selected Coupon type.","Requested quantity is not available for selected 
                                                        Coupon type. Only %1 quantity is available for selected Coupon type."
"You can not select previous date from Coupon Start Date as Coupon End Date.","You can not select previous date from Coupon Start Date as Coupon End Date."
"Coupon Start Time","Coupon Start Time"
"Coupon End Time","Coupon End Time"
"Customizable Options","Customizable Options"
"Custom options let customers choose the product variations they want.","Custom options let customers choose the product variations they want."
"Import Options","Import Options"
"Add Option","Add Option"
"New Option","New Option"
"Select Product","Select Product"
Import,Import
"Option Title","Option Title"
"Add Value","Add Value"
Title,Title
"Option Type","Option Type"
"-- Please select --","-- Please select --"
Required,Required
Price,Price
"Price Type","Price Type"
SKU,SKU
Qty,Qty
"Max Characters","Max Characters"
"Compatible File Extensions","Compatible File Extensions"
"Maximum Image Size","Maximum Image Size"
"Please leave blank if it is not an image.","Please leave blank if it is not an image."
px.,px.
"Radio Buttons","Radio Buttons"
"Add Coupon Coupon","Add Coupon Coupon"
"My Coupons List","My Coupons List"
CouponS,CouponS
"Coupon Name","Coupon Name"
"Search by Coupon name","Search by Coupon name"
Action,Action
Submit,Submit
"Coupon Timing","Coupon Timing"
"Coupon Venue","Coupon Venue"
"Total Price","Total Price"
"Coupon Start Time:","Coupon Start Time:"
"Coupon End Time:","Coupon End Time:"
"View Coupon Details","View Coupon Details"
"No Coupons Available","No Coupons Available"
Back,Back
"Your Coupon Details","Your Coupon Details"
"Qr Code","Qr Code"
"Coupon Code","Coupon Code"
"Coupon Quantity","Coupon Quantity"
"Coupon Status","Coupon Status"
"Valid Coupon","Valid Coupon"
"Used Coupon","Used Coupon"
"Order Id","Order Id"
"Coupon Type","Coupon Type"
"invalid Request","invalid Request"
Print,Print
"Coupon Coupon Type","Coupon Coupon Type"
"Add New Coupon","Add New Coupon"
Save,Save
"Attribute Set","Attribute Set"
"Coupon Category","Coupon Category"
CATEGORIES,CATEGORIES
Description,Description
"Short Description","Short Description"
"Terms & Conditions","Terms & Conditions"
"Enable Terms","Enable Terms"
Yes,Yes
"Coupon Unique Code","Coupon Unique Code"
"Coupon Code Available","Coupon Code Available"
"Coupon Code Already Exist","Coupon Code Already Exist"
"Special Price","Special Price"
"Special Price From","Special Price From"
"Special Price To","Special Price To"
Visibility,Visibility
"Please Select","Please Select"
"Tax Class","Tax Class"
None,None
"Set Coupon Code Prefix","Set Coupon Code Prefix"
"Coupon Stop Time","Coupon Stop Time"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Add Coupon Coupon Type","Add Coupon Coupon Type"
"Coupon Type","Coupon Type"
"Sort Order","Sort Order"
--select--,--select--
Fixed,Fixed
Percent,Percent
"Add Options","Add Options"
"Add options","Add options"
" Delete Option "," Delete Option "
" Field "," Field "
" Area "," Area "
"Drop Down","Drop Down"
" Radio Buttons "," Radio Buttons "
" Checkbox "," Checkbox "
" Multi Select "," Multi Select "
" Date "," Date "
" Date & Time "," Date & Time "
" Time "," Time "
" Yes "," Yes "
" No "," No "
" Title "," Title "
" Input Type "," Input Type "
" Is Required "," Is Required "
" Sort Order "," Sort Order "
" Fixed "," Fixed "
" Percent "," Percent "
" Price "," Price "
" Price Type "," Price Type "
" Qty "," Qty "
" SKU "," SKU "
" Max Characters "," Max Characters "
" Add Option "," Add Option "
" Delete Options "," Delete Options "
"Allowed File Extensions","Allowed File Extensions"
--Select--,--Select--
"Product Images","Product Images"
"Add Video","Add Video"
"Add video","Add video"
"Browse Files...","Browse Files..."
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Delete video","Delete video"
"Delete image","Delete image"
"Make Base","Make Base"
Hidden,Hidden
"Alt Text","Alt Text"
Role,Role
"Hide from Product Page","Hide from Product Page"
"Coupon List","Coupon List"
Date,Date
"Coupon Status","Coupon Status"
"Search by product name","Search by product name"
"From: ","From: "
"To: ","To: "
All,All
Approved,Approved
Unapproved,Unapproved
"Delete Products","Delete Products"
Coupon,Coupon
Type,Type
Status,Status
"Qty. Confirmed","Qty. Confirmed"
"Qty. Pending","Qty. Pending"
"Qty. Sold","Qty. Sold"
"Earned Amount","Earned Amount"
"Send Reminder","Send Reminder"
Select,Select
Pending,Pending
Edit,Edit
Delete,Delete
"No Coupon Available","No Coupon Available"
"No buyers of this product yet","No buyers of this product yet"
"Coupon Reminder","Coupon Reminder"
"Buyer List:","Buyer List:"
Subject:,Subject:
Message:,Message:
"Invalid request","Invalid request"
"Coupon Validity","Coupon Validity"
Coupon,Coupon
"Coupon Coupons Quantity","Coupon Coupons Quantity"
Validity,Validity
Valid,Valid
"Set Used","Set Used"
"Invalid Request","Invalid Request"
"Please Login to Validate customer Coupon.","Please Login to Validate customer Coupon."
"Coupon Management","Coupon Management"
Menu,Menu
"View Location","View Location"
"Terms &amp; Conditions","Terms &amp; Conditions"
"Terms and Conditions","Terms and Conditions"
Reset,Reset
"There are no products matching in the selection.","There are no products matching in the selection."
"Add to Cart","Add to Cart"
"Book Coupon","Book Coupon"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"View More","View More"
"We could not detect a size.","We could not detect a size."
"We don't recognize or support this file extension type.","We don't recognize or support this file extension type."
"Requested quantity is not available for selected Coupon type. Only ","Requested quantity is not available for selected Coupon type. Only "
"SKU can't be left empty","SKU can't be left empty"
"There was error during fetching results.","There was error during fetching results."
"you can not select previous date from Coupon start date","you can not select previous date from Coupon start date"
Saving,Saving
" Are you sure you want to edit this Coupon ? "," Are you sure you want to edit this Coupon ? "
" No Checkbox is checked "," No Checkbox is checked "
" Are you sure you want to delete these Coupons ? "," Are you sure you want to delete these Coupons ? "
" Are you sure you want to delete this Coupon ? "," Are you sure you want to delete this Coupon ? "
Webkul,Webkul
"Marketplace Coupon Coupon System","Marketplace Coupon Coupon System"
"Marketplace Coupon Coupon System Settings","Marketplace Coupon Coupon System Settings"
"Enable Coupon System","Enable Coupon System"
"Allowed Categories for Seller To Add Coupons","Allowed Categories for Seller To Add Coupons"
"e.g Please enter category ids by comma(,) separated","e.g Please enter category ids by comma(,) separated"
"Set Upcoming Coupon From Date","Set Upcoming Coupon From Date"
"Set Upcoming Coupon To Date","Set Upcoming Coupon To Date"
"Enable Terms At Frontend","Enable Terms At Frontend"
"Set Global Coupon Prefix","Set Global Coupon Prefix"
"This prefix will be added to Coupon's QR code","This prefix will be added to Coupon's QR code"
"Set Add To Cart Label for Expired Coupon","Set Add To Cart Label for Expired Coupon"
"Order Notification Email Template","Order Notification Email Template"
"Reminder Email Template","Reminder Email Template"
